senti,date,weight
NN,2020-07-01,86
NE,2020-07-01,25
ND,2020-07-01,6
PH,2020-07-01,100.5
PA,2020-07-01,35
PD,2020-07-01,46
NB,2020-07-01,13
PB,2020-07-01,32
PG,2020-07-01,44
NC,2020-07-01,-5
NH,2020-07-01,0
PC,2020-07-01,-5
NA,2020-07-01,4
PF,2020-07-01,5
PE,2020-07-01,9
PK,2020-07-01,25
NI,2020-07-01,17
NJ,2020-07-01,34
NG,2020-07-01,3
NK,2020-07-01,0
NL,2020-07-01,20
PH ,2020-07-01,0
NN,2020-06-30,63
NE,2020-06-30,-2
ND,2020-06-30,8
PH,2020-06-30,108.5
PA,2020-06-30,60
PD,2020-06-30,37
NB,2020-06-30,45
PB,2020-06-30,29
PG,2020-06-30,53
NC,2020-06-30,28
NH,2020-06-30,0
PC,2020-06-30,10
NA,2020-06-30,-2
PF,2020-06-30,13
PE,2020-06-30,30
PK,2020-06-30,69
NI,2020-06-30,0
NJ,2020-06-30,0
NG,2020-06-30,3
NK,2020-06-30,0
NL,2020-06-30,36
PH ,2020-06-30,0
NN,2020-06-29,101
NE,2020-06-29,11.5
ND,2020-06-29,29
PH,2020-06-29,158
PA,2020-06-29,100
PD,2020-06-29,70
NB,2020-06-29,10
PB,2020-06-29,18
PG,2020-06-29,51
NC,2020-06-29,45
NH,2020-06-29,7
PC,2020-06-29,5
NA,2020-06-29,-7
PF,2020-06-29,-1
PE,2020-06-29,52
PK,2020-06-29,65
NI,2020-06-29,13
NJ,2020-06-29,17
NG,2020-06-29,0
NK,2020-06-29,0
NL,2020-06-29,53
PH ,2020-06-29,0
NN,2020-06-28,48
NE,2020-06-28,3
ND,2020-06-28,6
PH,2020-06-28,94.0
PA,2020-06-28,80.5
PD,2020-06-28,23
NB,2020-06-28,39
PB,2020-06-28,22
PG,2020-06-28,51.5
NC,2020-06-28,36
NH,2020-06-28,-3
PC,2020-06-28,7
NA,2020-06-28,-3
PF,2020-06-28,0
PE,2020-06-28,-1
PK,2020-06-28,40
NI,2020-06-28,2
NJ,2020-06-28,0
NG,2020-06-28,1
NK,2020-06-28,0
NL,2020-06-28,3
PH ,2020-06-28,0
NN,2020-06-27,41
NE,2020-06-27,4
ND,2020-06-27,36
PH,2020-06-27,141
PA,2020-06-27,60
PD,2020-06-27,15
NB,2020-06-27,23
PB,2020-06-27,56
PG,2020-06-27,28
NC,2020-06-27,20
NH,2020-06-27,0
PC,2020-06-27,12
NA,2020-06-27,7
PF,2020-06-27,8
PE,2020-06-27,31
PK,2020-06-27,32
NI,2020-06-27,-5
NJ,2020-06-27,5
NG,2020-06-27,0
NK,2020-06-27,0
NL,2020-06-27,6
PH ,2020-06-27,0
NN,2020-06-26,37
NE,2020-06-26,16
ND,2020-06-26,4
PH,2020-06-26,14
PA,2020-06-26,34
PD,2020-06-26,0
NB,2020-06-26,14.5
PB,2020-06-26,19
PG,2020-06-26,29
NC,2020-06-26,55
NH,2020-06-26,0
PC,2020-06-26,0
NA,2020-06-26,0
PF,2020-06-26,0
PE,2020-06-26,6.5
PK,2020-06-26,22
NI,2020-06-26,1
NJ,2020-06-26,1
NG,2020-06-26,0
NK,2020-06-26,0
NL,2020-06-26,30
PH ,2020-06-26,0
NN,2020-06-25,47
NE,2020-06-25,11
ND,2020-06-25,0
PH,2020-06-25,112
PA,2020-06-25,79
PD,2020-06-25,65
NB,2020-06-25,0
PB,2020-06-25,9
PG,2020-06-25,41.5
NC,2020-06-25,58
NH,2020-06-25,0
PC,2020-06-25,10
NA,2020-06-25,7
PF,2020-06-25,0
PE,2020-06-25,35
PK,2020-06-25,17
NI,2020-06-25,16
NJ,2020-06-25,10
NG,2020-06-25,0
NK,2020-06-25,0
NL,2020-06-25,25
PH ,2020-06-25,0
NN,2020-06-24,33
NE,2020-06-24,6.5
ND,2020-06-24,7
PH,2020-06-24,117
PA,2020-06-24,48
PD,2020-06-24,20
NB,2020-06-24,8.5
PB,2020-06-24,15
PG,2020-06-24,10
NC,2020-06-24,24
NH,2020-06-24,0
PC,2020-06-24,5
NA,2020-06-24,27
PF,2020-06-24,5
PE,2020-06-24,27
PK,2020-06-24,45
NI,2020-06-24,5
NJ,2020-06-24,7
NG,2020-06-24,3
NK,2020-06-24,0
NL,2020-06-24,20
PH ,2020-06-24,0
NN,2020-06-23,114.5
NE,2020-06-23,8
ND,2020-06-23,15
PH,2020-06-23,171.0
PA,2020-06-23,79
PD,2020-06-23,36
NB,2020-06-23,3
PB,2020-06-23,21
PG,2020-06-23,55
NC,2020-06-23,17
NH,2020-06-23,0
PC,2020-06-23,0
NA,2020-06-23,3
PF,2020-06-23,0
PE,2020-06-23,7
PK,2020-06-23,54
NI,2020-06-23,5
NJ,2020-06-23,-6
NG,2020-06-23,0
NK,2020-06-23,0
NL,2020-06-23,35
PH ,2020-06-23,0
NN,2020-06-22,214.0
NE,2020-06-22,30
ND,2020-06-22,39
PH,2020-06-22,170
PA,2020-06-22,67.0
PD,2020-06-22,28
NB,2020-06-22,10
PB,2020-06-22,60
PG,2020-06-22,60
NC,2020-06-22,81
NH,2020-06-22,0
PC,2020-06-22,0
NA,2020-06-22,38
PF,2020-06-22,0
PE,2020-06-22,43
PK,2020-06-22,39.0
NI,2020-06-22,8
NJ,2020-06-22,5
NG,2020-06-22,0
NK,2020-06-22,0
NL,2020-06-22,67
PH ,2020-06-22,0
NN,2020-06-21,69.5
NE,2020-06-21,15
ND,2020-06-21,9.0
PH,2020-06-21,98
PA,2020-06-21,32
PD,2020-06-21,4
NB,2020-06-21,21
PB,2020-06-21,11
PG,2020-06-21,23
NC,2020-06-21,12
NH,2020-06-21,0
PC,2020-06-21,-3
NA,2020-06-21,5
PF,2020-06-21,14
PE,2020-06-21,23
PK,2020-06-21,32
NI,2020-06-21,0
NJ,2020-06-21,0
NG,2020-06-21,-9
NK,2020-06-21,0
NL,2020-06-21,55
PH ,2020-06-21,0
NN,2020-06-20,192.5
NE,2020-06-20,12
ND,2020-06-20,60
PH,2020-06-20,156
PA,2020-06-20,67
PD,2020-06-20,58
NB,2020-06-20,10
PB,2020-06-20,37
PG,2020-06-20,76
NC,2020-06-20,56
NH,2020-06-20,5
PC,2020-06-20,3
NA,2020-06-20,17
PF,2020-06-20,0
PE,2020-06-20,34
PK,2020-06-20,27
NI,2020-06-20,-5
NJ,2020-06-20,29
NG,2020-06-20,0
NK,2020-06-20,0
NL,2020-06-20,56
PH ,2020-06-20,0
NN,2020-06-19,109
NE,2020-06-19,-17
ND,2020-06-19,8
PH,2020-06-19,164.5
PA,2020-06-19,59
PD,2020-06-19,58.5
NB,2020-06-19,16
PB,2020-06-19,48
PG,2020-06-19,53
NC,2020-06-19,58.0
NH,2020-06-19,-9
PC,2020-06-19,11
NA,2020-06-19,14
PF,2020-06-19,3
PE,2020-06-19,42.5
PK,2020-06-19,20
NI,2020-06-19,10
NJ,2020-06-19,4.5
NG,2020-06-19,0
NK,2020-06-19,0
NL,2020-06-19,43
PH ,2020-06-19,0
NN,2020-06-18,181.0
NE,2020-06-18,14.5
ND,2020-06-18,30
PH,2020-06-18,201
PA,2020-06-18,72
PD,2020-06-18,47
NB,2020-06-18,5
PB,2020-06-18,50
PG,2020-06-18,126
NC,2020-06-18,45
NH,2020-06-18,-1.0
PC,2020-06-18,4
NA,2020-06-18,22
PF,2020-06-18,7
PE,2020-06-18,23
PK,2020-06-18,47
NI,2020-06-18,6
NJ,2020-06-18,0
NG,2020-06-18,-2.5
NK,2020-06-18,0
NL,2020-06-18,97
PH ,2020-06-18,0
NN,2020-06-17,139
NE,2020-06-17,33.5
ND,2020-06-17,6
PH,2020-06-17,248.5
PA,2020-06-17,58
PD,2020-06-17,80
NB,2020-06-17,23
PB,2020-06-17,72
PG,2020-06-17,81
NC,2020-06-17,108.5
NH,2020-06-17,5
PC,2020-06-17,7
NA,2020-06-17,28
PF,2020-06-17,4
PE,2020-06-17,49.5
PK,2020-06-17,77
NI,2020-06-17,0
NJ,2020-06-17,17
NG,2020-06-17,5
NK,2020-06-17,0
NL,2020-06-17,46
PH ,2020-06-17,0
NN,2020-06-16,89.5
NE,2020-06-16,37
ND,2020-06-16,23
PH,2020-06-16,203.5
PA,2020-06-16,46
PD,2020-06-16,40
NB,2020-06-16,30
PB,2020-06-16,69.5
PG,2020-06-16,107
NC,2020-06-16,59
NH,2020-06-16,0
PC,2020-06-16,6.5
NA,2020-06-16,32
PF,2020-06-16,10
PE,2020-06-16,12
PK,2020-06-16,27
NI,2020-06-16,4
NJ,2020-06-16,17
NG,2020-06-16,0
NK,2020-06-16,0
NL,2020-06-16,58
PH ,2020-06-16,0
NN,2020-06-15,195.5
NE,2020-06-15,56
ND,2020-06-15,40
PH,2020-06-15,164.0
PA,2020-06-15,68
PD,2020-06-15,34
NB,2020-06-15,12
PB,2020-06-15,30.5
PG,2020-06-15,102
NC,2020-06-15,132
NH,2020-06-15,7
PC,2020-06-15,26.5
NA,2020-06-15,24
PF,2020-06-15,2
PE,2020-06-15,73
PK,2020-06-15,90
NI,2020-06-15,10
NJ,2020-06-15,10
NG,2020-06-15,13
NK,2020-06-15,0
NL,2020-06-15,65
PH ,2020-06-15,0
NN,2020-06-14,107.5
NE,2020-06-14,58
ND,2020-06-14,10
PH,2020-06-14,215.5
PA,2020-06-14,64
PD,2020-06-14,7
NB,2020-06-14,50
PB,2020-06-14,15
PG,2020-06-14,191.5
NC,2020-06-14,122
NH,2020-06-14,3
PC,2020-06-14,13
NA,2020-06-14,33
PF,2020-06-14,9
PE,2020-06-14,27
PK,2020-06-14,26
NI,2020-06-14,7
NJ,2020-06-14,7
NG,2020-06-14,-1
NK,2020-06-14,0
NL,2020-06-14,63
PH ,2020-06-14,0
NN,2020-06-13,88.5
NE,2020-06-13,19
ND,2020-06-13,-6.5
PH,2020-06-13,121.0
PA,2020-06-13,38
PD,2020-06-13,11
NB,2020-06-13,1
PB,2020-06-13,14
PG,2020-06-13,62
NC,2020-06-13,60.5
NH,2020-06-13,20
PC,2020-06-13,0
NA,2020-06-13,14
PF,2020-06-13,0
PE,2020-06-13,9.5
PK,2020-06-13,27
NI,2020-06-13,0
NJ,2020-06-13,14
NG,2020-06-13,3
NK,2020-06-13,0
NL,2020-06-13,36.5
PH ,2020-06-13,0
NN,2020-06-12,116
NE,2020-06-12,49
ND,2020-06-12,82
PH,2020-06-12,130.5
PA,2020-06-12,59
PD,2020-06-12,10
NB,2020-06-12,17
PB,2020-06-12,25
PG,2020-06-12,95
NC,2020-06-12,82
NH,2020-06-12,0
PC,2020-06-12,9
NA,2020-06-12,0
PF,2020-06-12,11
PE,2020-06-12,40
PK,2020-06-12,43.5
NI,2020-06-12,7
NJ,2020-06-12,5
NG,2020-06-12,0
NK,2020-06-12,0
NL,2020-06-12,15
PH ,2020-06-12,0
NN,2020-06-11,42.0
NE,2020-06-11,25
ND,2020-06-11,53
PH,2020-06-11,127
PA,2020-06-11,52
PD,2020-06-11,21
NB,2020-06-11,17
PB,2020-06-11,23
PG,2020-06-11,24
NC,2020-06-11,50
NH,2020-06-11,0
PC,2020-06-11,19
NA,2020-06-11,49.5
PF,2020-06-11,4
PE,2020-06-11,-4
PK,2020-06-11,20
NI,2020-06-11,0
NJ,2020-06-11,23
NG,2020-06-11,0
NK,2020-06-11,0
NL,2020-06-11,45
PH ,2020-06-11,0
NN,2020-06-10,72.5
NE,2020-06-10,2
ND,2020-06-10,15
PH,2020-06-10,62
PA,2020-06-10,22
PD,2020-06-10,24
NB,2020-06-10,5
PB,2020-06-10,8
PG,2020-06-10,20
NC,2020-06-10,8
NH,2020-06-10,0
PC,2020-06-10,0
NA,2020-06-10,6
PF,2020-06-10,5
PE,2020-06-10,8
PK,2020-06-10,34
NI,2020-06-10,0
NJ,2020-06-10,0
NG,2020-06-10,0
NK,2020-06-10,0
NL,2020-06-10,3
PH ,2020-06-10,0
NN,2020-06-09,50
NE,2020-06-09,13
ND,2020-06-09,25
PH,2020-06-09,154.5
PA,2020-06-09,42
PD,2020-06-09,61.5
NB,2020-06-09,0
PB,2020-06-09,10
PG,2020-06-09,49
NC,2020-06-09,45
NH,2020-06-09,0
PC,2020-06-09,5
NA,2020-06-09,0
PF,2020-06-09,1
PE,2020-06-09,12
PK,2020-06-09,35
NI,2020-06-09,19
NJ,2020-06-09,14
NG,2020-06-09,0
NK,2020-06-09,0
NL,2020-06-09,42
PH ,2020-06-09,0
NN,2020-06-08,86.0
NE,2020-06-08,25
ND,2020-06-08,20.5
PH,2020-06-08,154.5
PA,2020-06-08,36
PD,2020-06-08,44
NB,2020-06-08,0
PB,2020-06-08,3
PG,2020-06-08,30
NC,2020-06-08,20
NH,2020-06-08,0
PC,2020-06-08,5
NA,2020-06-08,10
PF,2020-06-08,3
PE,2020-06-08,55
PK,2020-06-08,51
NI,2020-06-08,0
NJ,2020-06-08,5
NG,2020-06-08,3
NK,2020-06-08,0
NL,2020-06-08,34
PH ,2020-06-08,0
NN,2020-06-07,37
NE,2020-06-07,13
ND,2020-06-07,33
PH,2020-06-07,172.5
PA,2020-06-07,59
PD,2020-06-07,35.0
NB,2020-06-07,-9
PB,2020-06-07,33
PG,2020-06-07,5
NC,2020-06-07,9
NH,2020-06-07,8
PC,2020-06-07,10
NA,2020-06-07,14
PF,2020-06-07,7.5
PE,2020-06-07,8
PK,2020-06-07,12
NI,2020-06-07,7
NJ,2020-06-07,17
NG,2020-06-07,0
NK,2020-06-07,0
NL,2020-06-07,38
PH ,2020-06-07,0
NN,2020-06-06,31
NE,2020-06-06,3
ND,2020-06-06,0
PH,2020-06-06,38
PA,2020-06-06,14.5
PD,2020-06-06,3
NB,2020-06-06,11
PB,2020-06-06,20
PG,2020-06-06,-3
NC,2020-06-06,29
NH,2020-06-06,0
PC,2020-06-06,5
NA,2020-06-06,0
PF,2020-06-06,3
PE,2020-06-06,7
PK,2020-06-06,20
NI,2020-06-06,0
NJ,2020-06-06,0
NG,2020-06-06,0
NK,2020-06-06,0
NL,2020-06-06,34.5
PH ,2020-06-06,0
NN,2020-06-05,31.0
NE,2020-06-05,7
ND,2020-06-05,10
PH,2020-06-05,39
PA,2020-06-05,0
PD,2020-06-05,3
NB,2020-06-05,-3
PB,2020-06-05,2
PG,2020-06-05,10
NC,2020-06-05,1
NH,2020-06-05,5
PC,2020-06-05,0
NA,2020-06-05,1
PF,2020-06-05,0
PE,2020-06-05,7
PK,2020-06-05,5
NI,2020-06-05,0
NJ,2020-06-05,5
NG,2020-06-05,0
NK,2020-06-05,0
NL,2020-06-05,13
PH ,2020-06-05,0
NN,2020-06-04,42
NE,2020-06-04,5
ND,2020-06-04,26.5
PH,2020-06-04,77.5
PA,2020-06-04,28
PD,2020-06-04,12
NB,2020-06-04,21
PB,2020-06-04,5
PG,2020-06-04,10
NC,2020-06-04,15
NH,2020-06-04,6
PC,2020-06-04,0
NA,2020-06-04,14
PF,2020-06-04,5
PE,2020-06-04,21
PK,2020-06-04,5
NI,2020-06-04,0
NJ,2020-06-04,0
NG,2020-06-04,0
NK,2020-06-04,0
NL,2020-06-04,29
PH ,2020-06-04,0
NN,2020-06-03,57
NE,2020-06-03,5
ND,2020-06-03,5
PH,2020-06-03,21
PA,2020-06-03,18
PD,2020-06-03,10
NB,2020-06-03,0
PB,2020-06-03,8
PG,2020-06-03,15
NC,2020-06-03,50
NH,2020-06-03,0
PC,2020-06-03,5
NA,2020-06-03,22
PF,2020-06-03,0
PE,2020-06-03,16
PK,2020-06-03,10
NI,2020-06-03,-7
NJ,2020-06-03,7
NG,2020-06-03,0
NK,2020-06-03,0
NL,2020-06-03,15
PH ,2020-06-03,0
NN,2020-06-02,31
NE,2020-06-02,-2
ND,2020-06-02,7
PH,2020-06-02,23
PA,2020-06-02,17
PD,2020-06-02,0
NB,2020-06-02,0
PB,2020-06-02,5
PG,2020-06-02,6
NC,2020-06-02,39
NH,2020-06-02,7
PC,2020-06-02,5
NA,2020-06-02,7
PF,2020-06-02,0
PE,2020-06-02,23
PK,2020-06-02,12
NI,2020-06-02,7
NJ,2020-06-02,0
NG,2020-06-02,0
NK,2020-06-02,0
NL,2020-06-02,10
PH ,2020-06-02,0
NN,2020-06-01,57
NE,2020-06-01,11
ND,2020-06-01,15
PH,2020-06-01,77
PA,2020-06-01,29
PD,2020-06-01,26
NB,2020-06-01,6
PB,2020-06-01,38
PG,2020-06-01,5
NC,2020-06-01,73
NH,2020-06-01,0
PC,2020-06-01,0
NA,2020-06-01,9.5
PF,2020-06-01,18
PE,2020-06-01,-4
PK,2020-06-01,16
NI,2020-06-01,9
NJ,2020-06-01,7
NG,2020-06-01,0
NK,2020-06-01,0
NL,2020-06-01,18
PH ,2020-06-01,0
NN,2020-05-31,0
NE,2020-05-31,14
ND,2020-05-31,8
PH,2020-05-31,38
PA,2020-05-31,12
PD,2020-05-31,13
NB,2020-05-31,5
PB,2020-05-31,5
PG,2020-05-31,27
NC,2020-05-31,26
NH,2020-05-31,0
PC,2020-05-31,4
NA,2020-05-31,0
PF,2020-05-31,0
PE,2020-05-31,0
PK,2020-05-31,0
NI,2020-05-31,0
NJ,2020-05-31,0
NG,2020-05-31,3
NK,2020-05-31,0
NL,2020-05-31,5
PH ,2020-05-31,0
NN,2020-05-30,42
NE,2020-05-30,3
ND,2020-05-30,8
PH,2020-05-30,74
PA,2020-05-30,-4
PD,2020-05-30,24
NB,2020-05-30,9
PB,2020-05-30,28
PG,2020-05-30,28
NC,2020-05-30,27
NH,2020-05-30,5
PC,2020-05-30,0
NA,2020-05-30,0
PF,2020-05-30,0
PE,2020-05-30,0
PK,2020-05-30,10
NI,2020-05-30,0
NJ,2020-05-30,0
NG,2020-05-30,0
NK,2020-05-30,0
NL,2020-05-30,17
PH ,2020-05-30,0
NN,2020-05-29,19
NE,2020-05-29,0
ND,2020-05-29,5
PH,2020-05-29,64
PA,2020-05-29,9
PD,2020-05-29,0
NB,2020-05-29,0
PB,2020-05-29,7
PG,2020-05-29,0
NC,2020-05-29,2
NH,2020-05-29,0
PC,2020-05-29,0
NA,2020-05-29,0
PF,2020-05-29,0
PE,2020-05-29,3
PK,2020-05-29,5
NI,2020-05-29,0
NJ,2020-05-29,5
NG,2020-05-29,0
NK,2020-05-29,0
NL,2020-05-29,0
PH ,2020-05-29,0
NN,2020-05-28,32.0
NE,2020-05-28,15
ND,2020-05-28,8
PH,2020-05-28,28
PA,2020-05-28,13
PD,2020-05-28,15.5
NB,2020-05-28,8
PB,2020-05-28,3
PG,2020-05-28,29
NC,2020-05-28,15
NH,2020-05-28,5
PC,2020-05-28,0
NA,2020-05-28,-7
PF,2020-05-28,0
PE,2020-05-28,3
PK,2020-05-28,42
NI,2020-05-28,0
NJ,2020-05-28,0
NG,2020-05-28,0
NK,2020-05-28,0
NL,2020-05-28,15
PH ,2020-05-28,0
NN,2020-05-27,1
NE,2020-05-27,-5
ND,2020-05-27,0
PH,2020-05-27,43
PA,2020-05-27,0
PD,2020-05-27,5
NB,2020-05-27,-1
PB,2020-05-27,3
PG,2020-05-27,10
NC,2020-05-27,7
NH,2020-05-27,0
PC,2020-05-27,0
NA,2020-05-27,0
PF,2020-05-27,0
PE,2020-05-27,0
PK,2020-05-27,5
NI,2020-05-27,0
NJ,2020-05-27,11
NG,2020-05-27,0
NK,2020-05-27,0
NL,2020-05-27,0
PH ,2020-05-27,0
NN,2020-05-26,69.5
NE,2020-05-26,8
ND,2020-05-26,49
PH,2020-05-26,67.0
PA,2020-05-26,31
PD,2020-05-26,43
NB,2020-05-26,32
PB,2020-05-26,40
PG,2020-05-26,62
NC,2020-05-26,55
NH,2020-05-26,5
PC,2020-05-26,0
NA,2020-05-26,0
PF,2020-05-26,0
PE,2020-05-26,13
PK,2020-05-26,19
NI,2020-05-26,14
NJ,2020-05-26,23
NG,2020-05-26,3
NK,2020-05-26,0
NL,2020-05-26,12
PH ,2020-05-26,0
NN,2020-05-25,48
NE,2020-05-25,5
ND,2020-05-25,5
PH,2020-05-25,28.5
PA,2020-05-25,7
PD,2020-05-25,10
NB,2020-05-25,7
PB,2020-05-25,25
PG,2020-05-25,14
NC,2020-05-25,12.5
NH,2020-05-25,0
PC,2020-05-25,20
NA,2020-05-25,7
PF,2020-05-25,0
PE,2020-05-25,3
PK,2020-05-25,10
NI,2020-05-25,0
NJ,2020-05-25,0
NG,2020-05-25,0
NK,2020-05-25,0
NL,2020-05-25,29.5
PH ,2020-05-25,0
NN,2020-05-24,80
NE,2020-05-24,2.5
ND,2020-05-24,45.5
PH,2020-05-24,87.0
PA,2020-05-24,40
PD,2020-05-24,16
NB,2020-05-24,3
PB,2020-05-24,-5
PG,2020-05-24,16
NC,2020-05-24,45
NH,2020-05-24,0
PC,2020-05-24,5
NA,2020-05-24,-7
PF,2020-05-24,0
PE,2020-05-24,14
PK,2020-05-24,2
NI,2020-05-24,0
NJ,2020-05-24,0
NG,2020-05-24,0
NK,2020-05-24,0
NL,2020-05-24,21
PH ,2020-05-24,0
NN,2020-05-23,55
NE,2020-05-23,15
ND,2020-05-23,-2
PH,2020-05-23,83
PA,2020-05-23,29
PD,2020-05-23,33
NB,2020-05-23,12
PB,2020-05-23,5
PG,2020-05-23,40
NC,2020-05-23,19
NH,2020-05-23,0
PC,2020-05-23,5
NA,2020-05-23,5
PF,2020-05-23,0
PE,2020-05-23,3
PK,2020-05-23,0
NI,2020-05-23,7
NJ,2020-05-23,7
NG,2020-05-23,0
NK,2020-05-23,0
NL,2020-05-23,25
PH ,2020-05-23,0
NN,2020-05-22,32
NE,2020-05-22,0
ND,2020-05-22,-4.0
PH,2020-05-22,91.5
PA,2020-05-22,16
PD,2020-05-22,46
NB,2020-05-22,0
PB,2020-05-22,34
PG,2020-05-22,40
NC,2020-05-22,30.5
NH,2020-05-22,5
PC,2020-05-22,5
NA,2020-05-22,0
PF,2020-05-22,5.5
PE,2020-05-22,3
PK,2020-05-22,20
NI,2020-05-22,0
NJ,2020-05-22,0
NG,2020-05-22,0
NK,2020-05-22,0
NL,2020-05-22,0
PH ,2020-05-22,0
NN,2020-05-21,33
NE,2020-05-21,34.5
ND,2020-05-21,5
PH,2020-05-21,191.5
PA,2020-05-21,30
PD,2020-05-21,45
NB,2020-05-21,37
PB,2020-05-21,23
PG,2020-05-21,91
NC,2020-05-21,0
NH,2020-05-21,0
PC,2020-05-21,5
NA,2020-05-21,14
PF,2020-05-21,7
PE,2020-05-21,17
PK,2020-05-21,20
NI,2020-05-21,8
NJ,2020-05-21,-5
NG,2020-05-21,0
NK,2020-05-21,0
NL,2020-05-21,33
PH ,2020-05-21,0
NN,2020-05-20,27
NE,2020-05-20,0
ND,2020-05-20,16
PH,2020-05-20,132
PA,2020-05-20,60
PD,2020-05-20,45
NB,2020-05-20,15
PB,2020-05-20,60
PG,2020-05-20,8
NC,2020-05-20,31
NH,2020-05-20,0
PC,2020-05-20,5
NA,2020-05-20,0
PF,2020-05-20,7
PE,2020-05-20,14
PK,2020-05-20,100
NI,2020-05-20,0
NJ,2020-05-20,12
NG,2020-05-20,0
NK,2020-05-20,14
NL,2020-05-20,0
PH ,2020-05-20,0
NN,2020-05-19,75
NE,2020-05-19,5
ND,2020-05-19,24
PH,2020-05-19,88
PA,2020-05-19,79
PD,2020-05-19,5
NB,2020-05-19,9
PB,2020-05-19,15
PG,2020-05-19,22
NC,2020-05-19,16
NH,2020-05-19,5
PC,2020-05-19,13
NA,2020-05-19,14
PF,2020-05-19,19
PE,2020-05-19,10
PK,2020-05-19,52
NI,2020-05-19,-3
NJ,2020-05-19,7
NG,2020-05-19,0
NK,2020-05-19,0
NL,2020-05-19,10
PH ,2020-05-19,0
NN,2020-05-18,46
NE,2020-05-18,0
ND,2020-05-18,22.5
PH,2020-05-18,116
PA,2020-05-18,18
PD,2020-05-18,13
NB,2020-05-18,21
PB,2020-05-18,22
PG,2020-05-18,28
NC,2020-05-18,48
NH,2020-05-18,0
PC,2020-05-18,6
NA,2020-05-18,5
PF,2020-05-18,5
PE,2020-05-18,15
PK,2020-05-18,51.5
NI,2020-05-18,7
NJ,2020-05-18,0
NG,2020-05-18,0
NK,2020-05-18,0
NL,2020-05-18,30
PH ,2020-05-18,0
NN,2020-01-26,309.0
NE,2020-01-26,84
ND,2020-01-26,98
PH,2020-01-26,390.5
PA,2020-01-26,175.0
PD,2020-01-26,55
NB,2020-01-26,84
PB,2020-01-26,158
PG,2020-01-26,247.5
NC,2020-01-26,227.5
NH,2020-01-26,33
PC,2020-01-26,22
NA,2020-01-26,38
PF,2020-01-26,2
PE,2020-01-26,186.5
PK,2020-01-26,90
NI,2020-01-26,85
NJ,2020-01-26,43
NG,2020-01-26,6
NK,2020-01-26,0
NL,2020-01-26,258
PH ,2020-01-26,0
NN,2020-05-17,103
NE,2020-05-17,39
ND,2020-05-17,40
PH,2020-05-17,133
PA,2020-05-17,87
PD,2020-05-17,5
NB,2020-05-17,37.5
PB,2020-05-17,55
PG,2020-05-17,86
NC,2020-05-17,36.5
NH,2020-05-17,0
PC,2020-05-17,16
NA,2020-05-17,36
PF,2020-05-17,4
PE,2020-05-17,43
